Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,23.8,24.5,436,999,240
4/3/2021 8:00,24.4,24.5,439,1184,320
4/3/2021 10:00,25.9,23.2,438,1292,390
4/3/2021 12:00,27.1,21.6,437,1330,434
4/3/2021 14:00,27.2,20.5,434,1159,141
4/3/2021 16:00,26.2,20.2,434,820,24.5
4/3/2021 18:00,25.4,20.3,435,622,0
4/3/2021 20:00,24.7,19.6,435,359,0
4/3/2021 22:00,24.1,19,431,305,0
4/4/2021 0:00,23.6,19,431,265,0
4/4/2021 2:00,23.1,19,432,234,0
4/4/2021 4:00,22.6,19.8,436,231,9.08
4/4/2021 6:00,22.2,20.6,440,257,98.1
4/4/2021 8:00,22.7,21.2,442,319,310
4/4/2021 10:00,24.1,21.4,440,509,368
4/4/2021 12:00,25.5,20.3,437,695,417
4/4/2021 14:00,25.9,19.1,432,557,123
4/4/2021 16:00,25,18.6,430,364,23.9
4/4/2021 18:00,24.3,19.3,430,340,0
4/4/2021 20:00,23.7,19.6,435,304,0
4/4/2021 22:00,23.2,20.3,444,270,0
4/5/2021 0:00,22.7,20.8,450,274,0
4/5/2021 2:00,22.3,21.7,462,281,0
4/5/2021 4:00,21.9,22.3,466,278,9.25
4/5/2021 6:00,21.7,22.8,468,282,95.4
4/5/2021 8:00,22.2,23.3,458,334,303
4/5/2021 10:00,23.5,23.5,449,608,351
4/5/2021 12:00,24,23.3,440,765,213
4/5/2021 14:00,23.9,23,433,707,147
4/5/2021 16:00,23.6,23,429,644,29.8
4/5/2021 18:00,23.2,23.3,429,511,0
4/5/2021 20:00,22.7,23.5,435,389,0
4/5/2021 22:00,22.3,23.7,445,365,0
4/6/2021 0:00,21.9,24,444,350,0
4/6/2021 2:00,21.6,23.5,434,315,0
4/6/2021 4:00,21.3,22.4,427,264,8.42
4/6/2021 6:00,21,21.3,424,221,101
4/6/2021 8:00,21.6,20,427,233,307
4/6/2021 10:00,22.7,20.6,426,309,355
4/6/2021 12:00,22.8,20.5,427,316,336
4/6/2021 14:00,22.9,20.4,427,322,318
4/6/2021 16:00,23,20.4,427,328,299
