Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,23.4,24.2,351,215,1
4/3/2021 8:00,23.4,24,350,209,0.917
4/3/2021 10:00,23.6,23.5,348,209,1
4/3/2021 12:00,23.8,23.2,347,213,1
4/3/2021 14:00,24,22.8,346,210,0.917
4/3/2021 16:00,23.9,22.5,346,196,0
4/3/2021 18:00,23.7,21.8,345,158,0
4/3/2021 20:00,23.5,21.5,346,133,0
4/3/2021 22:00,23.3,21,347,113,0
4/4/2021 0:00,23.2,20.5,347,91,0
4/4/2021 2:00,23,20.5,347,81.8,0
4/4/2021 4:00,22.9,20.5,348,68.8,0
4/4/2021 6:00,22.7,20.8,353,60,0.25
4/4/2021 8:00,22.7,21.5,352,81.8,0.917
4/4/2021 10:00,22.8,21.5,350,104,1
4/4/2021 12:00,23,21.5,348,118,1
4/4/2021 14:00,23.2,21.3,346,128,0.917
4/4/2021 16:00,23.2,21,344,121,0
4/4/2021 18:00,23,21,344,104,0
4/4/2021 20:00,22.9,21.3,348,97.7,0
4/4/2021 22:00,22.7,21.5,353,92.1,0
4/5/2021 0:00,22.6,21.6,362,82,0
4/5/2021 2:00,22.5,22.5,369,90.8,0
4/5/2021 4:00,22.4,23,375,98.9,0
4/5/2021 6:00,22.3,23.5,377,105,0.25
4/5/2021 8:00,22.4,23.5,371,114,0.833
4/5/2021 10:00,22.5,23.5,366,140,1.58
4/5/2021 12:00,22.8,23.5,357,156,1.17
4/5/2021 14:00,22.8,23.9,350,163,1
4/5/2021 16:00,22.8,23.6,347,162,0.167
4/5/2021 18:00,22.7,23.6,346,151,0
4/5/2021 20:00,22.5,23.7,349,137,0
4/5/2021 22:00,22.4,24,355,128,0
4/6/2021 0:00,22.3,23.9,356,123,0
4/6/2021 2:00,22.2,23.2,353,99.8,0
4/6/2021 4:00,22.1,22.3,348,71.7,0
4/6/2021 6:00,22,21.2,346,35.8,0.25
4/6/2021 8:00,22,20.2,344,18.8,0.833
4/6/2021 10:00,22.1,20.5,344,38.2,1
4/6/2021 12:00,22.1,20.4,344,36.1,0.96
4/6/2021 14:00,22.1,20.2,343,34,0.921
4/6/2021 16:00,22.2,20.1,343,31.9,0.881
4/6/2021 18:00,22.2,19.9,343,29.8,0.842
4/6/2021 20:00,22.2,19.8,342,27.7,0.802
4/6/2021 22:00,22.2,19.6,342,25.6,0.762
4/7/2021 0:00,22.3,19.5,341,23.5,0.723
4/7/2021 2:00,22.3,19.4,341,21.5,0.683
4/7/2021 4:00,22.3,19.2,341,19.4,0.643
4/7/2021 6:00,22.3,19.1,340,17.3,0.604
4/7/2021 8:00,21.5,19.2,374,99.4,0.241
4/7/2021 10:00,21.5,21.6,692,797,0.25
4/7/2021 12:00,22,24.3,1115,1104,64.1
4/7/2021 14:00,22,22.5,751,455,15.1
4/7/2021 16:00,21.8,21.3,509,302,0
4/7/2021 18:00,21.6,20.5,432,219,0
4/7/2021 20:00,21.4,20.2,403,173,0
4/7/2021 22:00,21.2,19.5,379,123,0
4/8/2021 0:00,21.1,19.6,367,93.5,0
4/8/2021 2:00,21,20,365,80.6,0
4/8/2021 4:00,20.9,20.3,368,78.3,0
4/8/2021 6:00,20.8,19.9,425,354,0
4/8/2021 8:00,20.8,19.9,458,239,0
4/8/2021 10:00,20.9,22.5,707,1060,0.167
4/8/2021 12:00,21.5,23.6,1000,738,77.7
4/8/2021 14:00,21.7,20.6,502,277,44.4
4/8/2021 16:00,21.6,22.2,454,307,0.0833
4/8/2021 18:00,21.4,21.7,417,248,0
4/8/2021 20:00,21.2,21.6,403,199,0
4/8/2021 22:00,21.1,22,398,186,0
4/9/2021 0:00,21,22,390,160,0
4/9/2021 2:00,20.9,22.3,385,145,0
4/9/2021 4:00,20.8,22.5,388,171,0
4/9/2021 6:00,20.8,22.8,453,649,0.0833
4/9/2021 8:00,20.8,22.3,475,399,0.727
4/9/2021 10:00,20.9,24.2,738,947,1
4/9/2021 12:00,21.3,25.3,681,1126,7.83
4/9/2021 14:00,21.3,27.6,530,761,0.75
4/9/2021 16:00,21.3,25.8,452,453,41.4
4/9/2021 18:00,21.4,28.7,402,425,32.6
4/9/2021 20:00,21.3,27.8,403,370,0
4/9/2021 22:00,21.2,26.6,392,323,0
4/10/2021 0:00,21.1,26,391,295,0
4/10/2021 2:00,21.1,26.1,392,282,0
4/10/2021 4:00,21,26.5,402,276,0
4/10/2021 6:00,21,26.5,412,270,0.0833
4/10/2021 8:00,21,26.5,409,262,0.833
4/10/2021 10:00,21.1,26.5,394,265,0.417
4/10/2021 12:00,21.1,26.5,383,264,0.333
4/10/2021 14:00,21.1,26.5,374,261,0.0833
4/10/2021 16:00,21.1,26.5,369,258,0
4/10/2021 18:00,21.1,26.6,368,249,0
4/10/2021 20:00,21,27,371,244,0
4/10/2021 22:00,21,27.2,383,246,0
4/11/2021 0:00,20.9,27.5,392,248,0
4/11/2021 2:00,20.9,27.7,390,252,0
4/11/2021 4:00,20.8,28.4,385,259,0
4/11/2021 6:00,20.8,28.8,379,265,0.25
4/11/2021 8:00,20.8,29.4,374,273,0.667
4/11/2021 10:00,20.9,30.1,369,284,0.333
4/11/2021 12:00,20.9,30.5,364,289,0.75
4/11/2021 14:00,20.9,30.5,360,290,0.667
4/11/2021 16:00,20.9,30.5,360,293,0
4/11/2021 18:00,20.9,30.8,360,293,0
4/11/2021 20:00,20.8,31,367,293,0
4/11/2021 22:00,20.8,31,376,295,0
4/12/2021 0:00,20.7,31.4,385,296,0
4/12/2021 2:00,20.7,31.7,392,300,0
4/12/2021 4:00,20.8,32.1,396,309,0
4/12/2021 6:00,20.8,33.3,453,749,0
4/12/2021 8:00,20.8,35.8,594,1000,0.417
4/12/2021 10:00,21,38.1,790,912,1.55
4/12/2021 12:00,20.9,37.8,784,1977,10.6
4/12/2021 14:00,20.9,37,624,1578,4.58
