Time,Temperature,Humidity,,,
4/15/2021 22:00,21.2,27.6,,,
4/16/2021 0:00,21.1,27.5,,,
4/16/2021 2:00,21,27,,,
4/16/2021 4:00,20.9,26.4,,,
4/16/2021 6:00,20.8,26.4,,,
4/16/2021 8:00,21,26.6,,,
4/16/2021 10:00,21.5,24.3,,,
4/16/2021 12:00,22.1,24.8,,,
4/16/2021 14:00,22.5,27,,,
4/16/2021 16:00,22.5,28,,,
4/16/2021 18:00,22.2,27,,,
4/16/2021 20:00,21.9,27,,,
4/16/2021 22:00,21.6,27,,,
4/17/2021 0:00,21.4,27,,,
4/17/2021 2:00,21.3,27,,,
4/17/2021 4:00,21.2,27,,,
4/17/2021 6:00,21.1,27,,,
4/17/2021 8:00,21.4,26.3,,,
4/17/2021 10:00,21.9,26,,,
4/17/2021 12:00,22.3,25.5,,,
4/17/2021 14:00,22.7,25,,,
4/17/2021 16:00,22.6,24.8,,,
4/17/2021 18:00,22.3,25,,,
4/17/2021 20:00,22.1,25,,,
4/17/2021 22:00,21.9,25.7,,,
4/18/2021 0:00,21.8,26,,,
4/18/2021 2:00,21.7,26,,,
4/18/2021 4:00,21.6,26.5,,,
4/18/2021 6:00,21.5,26.8,,,
4/18/2021 8:00,21.7,26,,,
4/18/2021 10:00,21.9,26,,,
4/18/2021 12:00,22.1,26,,,
4/18/2021 14:00,22.4,25.1,,,
4/18/2021 16:00,22.4,25,,,
4/18/2021 18:00,22.2,25.2,,,
4/18/2021 20:00,22.1,26,,,
4/18/2021 22:00,21.9,26,,,
4/19/2021 0:00,21.7,26.4,,,
4/19/2021 2:00,21.7,27,,,
4/19/2021 4:00,21.7,27.2,,,
4/19/2021 6:00,21.6,28.6,,,
4/19/2021 8:00,21.8,28.5,,,
4/19/2021 10:00,22.1,28.1,,,
4/19/2021 12:00,22.3,27,,,
4/19/2021 14:00,22.6,29.8,,,
4/19/2021 16:00,22.6,28.7,,,
4/19/2021 18:00,22.4,27.6,,,
4/19/2021 20:00,22.2,27,,,
4/19/2021 22:00,22,27.4,,,
4/20/2021 0:00,21.9,27.7,,,
4/20/2021 2:00,21.8,28,,,
4/20/2021 4:00,21.7,27.9,,,
4/20/2021 6:00,21.7,28.6,,,
4/20/2021 8:00,22,28.8,,,
4/20/2021 10:00,22.4,27,,,
4/20/2021 12:00,22.6,25.3,,,
4/20/2021 14:00,23,29.5,,,
4/20/2021 16:00,23,29.5,,,
4/20/2021 18:00,22.8,28.3,,,
4/20/2021 20:00,22.6,28.2,,,
4/20/2021 22:00,22.4,29,,,
4/21/2021 0:00,22.2,29,,,
4/21/2021 2:00,22.1,29,,,
4/21/2021 4:00,22,28.9,,,
4/21/2021 6:00,21.9,29.5,,,
4/21/2021 8:00,21.9,28,,,
4/21/2021 10:00,22.2,28.2,,,
4/21/2021 12:00,22.5,26.6,,,
4/21/2021 14:00,22.9,28,,,
4/21/2021 16:00,23.1,29.1,,,
4/21/2021 18:00,22.9,29,,,
4/21/2021 20:00,22.7,29,,,
4/21/2021 22:00,22.5,29.3,,,
4/22/2021 0:00,22.4,30,,,
4/22/2021 2:00,22.3,30,,,
4/22/2021 4:00,22.3,30.4,,,
4/22/2021 6:00,22.2,32.8,,,
4/22/2021 8:00,22.5,33,,,
4/22/2021 10:00,22.9,31.3,,,
4/22/2021 12:00,23.4,29,,,
4/22/2021 14:00,23.8,30.3,,,
4/22/2021 16:00,23.7,31.5,,,
4/22/2021 18:00,23.5,30,,,
4/22/2021 20:00,23.3,30,,,
4/22/2021 22:00,23.1,30,,,
4/23/2021 0:00,22.9,30,,,
4/23/2021 2:00,22.8,30,,,
4/23/2021 4:00,22.6,29.6,,,
4/23/2021 6:00,22.5,29.7,,,
4/23/2021 8:00,22.6,28.6,,,
