Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,22.9,25,361,3.33,5
4/3/2021 8:00,23.1,24.3,360,4.67,5
4/3/2021 10:00,23.3,24,357,17.8,4.67
4/3/2021 12:00,23.4,23.6,355,17.5,4.25
4/3/2021 14:00,23.5,23.4,354,12.5,2.58
4/3/2021 16:00,23.4,22.8,356,3.42,0.333
4/3/2021 18:00,23.2,22.8,357,3.5,0
4/3/2021 20:00,23,22.5,360,3.25,0
4/3/2021 22:00,22.8,22.5,360,3.33,0
4/4/2021 0:00,22.6,22.4,365,3.08,0
4/4/2021 2:00,22.4,22.5,367,6.42,0
4/4/2021 4:00,22.3,23,369,3.58,0
4/4/2021 6:00,22.1,23,374,3.75,1.33
4/4/2021 8:00,22.2,22.8,373,9.08,5
4/4/2021 10:00,22.4,22,365,8.08,4.67
4/4/2021 12:00,22.5,22,360,13.3,4
4/4/2021 14:00,22.6,22,357,21.7,2.75
4/4/2021 16:00,22.6,21.5,355,13.4,0.333
4/4/2021 18:00,22.5,21.7,358,11.4,0
4/4/2021 20:00,22.3,22.3,362,11.9,0
4/4/2021 22:00,22.2,22.8,367,9.5,0
4/5/2021 0:00,22,23.6,382,9,0
4/5/2021 2:00,21.9,24.1,391,25.6,0
4/5/2021 4:00,21.8,24.5,396,30.8,0
4/5/2021 6:00,21.8,24.5,397,31,1.67
4/5/2021 8:00,21.9,24.5,390,27.7,4.75
4/5/2021 10:00,22.3,24.5,377,41.6,5.5
4/5/2021 12:00,22.4,24.5,369,55.3,4
4/5/2021 14:00,22.5,24.5,364,62.2,3.33
4/5/2021 16:00,22.4,24.5,361,58.8,0.75
4/5/2021 18:00,22.3,24.5,362,53.6,0
4/5/2021 20:00,22.2,24.7,363,47.3,0
4/5/2021 22:00,22,25,372,37.9,0
4/6/2021 0:00,21.9,25,374,31.3,0
4/6/2021 2:00,21.7,24.3,370,15.3,0
4/6/2021 4:00,21.7,23.5,365,5.83,0
4/6/2021 6:00,21.6,22.5,365,2.5,1.42
