Time,Temperature,Humidity,CO2,illumination
4/3/2021 6:00,,,,
4/3/2021 8:00,,,,
4/3/2021 10:00,,,,
4/3/2021 12:00,,,,
4/3/2021 14:00,,,,
4/3/2021 16:00,,,,
4/3/2021 18:00,,,,
4/3/2021 20:00,,,,
4/3/2021 22:00,,,,
4/4/2021 0:00,,,,
4/4/2021 2:00,,,,
4/4/2021 4:00,,,,
4/4/2021 6:00,,,,
4/4/2021 8:00,,,,
4/4/2021 10:00,,,,
4/4/2021 12:00,,,,
4/4/2021 14:00,,,,
4/4/2021 16:00,,,,
4/4/2021 18:00,,,,
4/4/2021 20:00,,,,
4/4/2021 22:00,,,,
4/5/2021 0:00,,,,
4/5/2021 2:00,,,,
4/5/2021 4:00,,,,
4/5/2021 6:00,,,,
4/5/2021 8:00,,,,
4/5/2021 10:00,,,,
4/5/2021 12:00,,,,
4/5/2021 14:00,,,,
4/5/2021 16:00,,,,
4/5/2021 18:00,,,,
4/5/2021 20:00,,,,
4/5/2021 22:00,,,,
4/6/2021 0:00,,,,
4/6/2021 2:00,,,,
4/6/2021 4:00,,,,
4/6/2021 6:00,,,,
4/6/2021 8:00,,,,
4/6/2021 10:00,,,,
4/6/2021 12:00,,,,
4/6/2021 14:00,,,,
4/6/2021 16:00,,,,
4/6/2021 18:00,,,,
4/6/2021 20:00,,,,
4/6/2021 22:00,,,,
4/7/2021 0:00,,,,
4/7/2021 2:00,,,,
4/7/2021 4:00,,,,
4/7/2021 6:00,,,,
4/7/2021 8:00,,,,
4/7/2021 10:00,,,,
4/7/2021 12:00,,,,
4/7/2021 14:00,,,,
4/7/2021 16:00,,,,
4/7/2021 18:00,,,,
4/7/2021 20:00,,,,
4/7/2021 22:00,,,,
4/8/2021 0:00,,,,
4/8/2021 2:00,,,,
4/8/2021 4:00,,,,
4/8/2021 6:00,,,,
4/8/2021 8:00,,,,
4/8/2021 10:00,,,,
4/8/2021 12:00,,,,
4/8/2021 14:00,,,,
4/8/2021 16:00,,,,
4/8/2021 18:00,,,,
4/8/2021 20:00,,,,
4/8/2021 22:00,,,,
4/9/2021 0:00,23.9,15.7,433,1
4/9/2021 2:00,24.2,15.2,436,1
4/9/2021 4:00,23.3,16.7,454,45.3
4/9/2021 6:00,18.3,24,454,123
4/9/2021 8:00,19.2,18.5,445,85.8
4/9/2021 10:00,21.5,17.2,447,134
4/9/2021 12:00,24.6,16.8,441,165
4/9/2021 14:00,26.3,15.3,411,16.4
4/9/2021 16:00,25.8,17.9,429,33.6
4/9/2021 18:00,25.4,18.1,426,1.75
4/9/2021 20:00,25,18.6,432,1
4/9/2021 22:00,24.5,19.9,443,1
4/10/2021 0:00,24.2,21,454,1
4/10/2021 2:00,24.2,22,474,1
4/10/2021 4:00,24.7,22,492,1
4/10/2021 6:00,25.1,21.9,494,2.83
4/10/2021 8:00,25.5,20.4,447,5.21
4/10/2021 10:00,25.8,19.1,427,4.25
