Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,22.7,17.5,434,312,27.3
4/3/2021 8:00,22.9,17.1,435,325,38.2
4/3/2021 10:00,23.3,16.6,432,348,48
4/3/2021 12:00,23.7,16.2,433,365,49.5
4/3/2021 14:00,23.8,15.8,432,356,23.4
4/3/2021 16:00,23.6,15.5,432,328,4.75
4/3/2021 18:00,23.3,15.5,432,307,0
4/3/2021 20:00,23,15.1,433,287,0
4/3/2021 22:00,22.7,14.9,434,262,0
4/4/2021 0:00,22.4,14.6,434,243,0
4/4/2021 2:00,22.2,15.3,438,248,0
4/4/2021 4:00,22,15.9,442,254,2
4/4/2021 6:00,21.8,16.8,451,270,12.9
4/4/2021 8:00,21.9,16,438,253,36.8
4/4/2021 10:00,22.2,16,433,269,46.2
4/4/2021 12:00,22.5,15.2,431,283,47.8
4/4/2021 14:00,22.8,14.5,428,280,23.3
4/4/2021 16:00,22.6,14.5,426,256,4.58
4/4/2021 18:00,22.4,15.8,433,274,0
4/4/2021 20:00,22.3,17.7,442,299,0
4/4/2021 22:00,22.1,18.8,454,315,0
4/5/2021 0:00,22,20,469,339,0
4/5/2021 2:00,21.9,21,477,361,0
4/5/2021 4:00,21.9,21.2,477,360,2.25
4/5/2021 6:00,21.9,21.7,471,369,15.1
4/5/2021 8:00,22.2,21.1,448,367,38.5
4/5/2021 10:00,22.6,21,438,410,57
4/5/2021 12:00,22.9,21,435,527,39.8
4/5/2021 14:00,23.1,20.9,429,543,28.3
4/5/2021 16:00,23.1,20.2,429,422,5.45
4/5/2021 18:00,22.9,20.8,435,385,0
4/5/2021 20:00,22.7,21.7,448,429,0
4/5/2021 22:00,22.4,22.1,459,404,0
4/6/2021 0:00,22.2,21.1,442,356,0
4/6/2021 2:00,22,17.1,430,269,0
4/6/2021 4:00,21.9,15,428,222,2.08
4/6/2021 6:00,21.8,13.1,430,176,13.6
4/6/2021 8:00,21.9,12,430,162,36.7
4/6/2021 10:00,22.1,11.8,425,171,47.2
4/6/2021 12:00,22.1,11.8,425,172,44.9
4/6/2021 14:00,22.2,11.7,425,173,42.7
4/6/2021 16:00,22.2,11.7,425,174,40.4
4/6/2021 18:00,22.2,11.6,425,176,38.2
4/6/2021 20:00,22.3,11.6,425,177,35.9
4/6/2021 22:00,22.3,11.6,425,178,33.7
4/7/2021 0:00,22.4,11.5,425,179,31.4
4/7/2021 2:00,22.4,11.5,425,180,29.2
4/7/2021 4:00,22.4,11.4,425,181,26.9
4/7/2021 6:00,22.5,11.4,425,182,24.7
4/7/2021 8:00,21.1,15.3,506,200,34
4/7/2021 10:00,21.2,16.1,679,264,161
4/7/2021 12:00,21.5,15,651,257,219
4/7/2021 14:00,21.6,12.8,473,196,21.7
4/7/2021 16:00,21.4,11.5,445,141,5
4/7/2021 18:00,21.2,11.2,441,120,0
4/7/2021 20:00,21,11.5,440,110,0
4/7/2021 22:00,20.8,12.5,443,117,0
4/8/2021 0:00,20.6,14.5,451,155,0
4/8/2021 2:00,20.6,15.6,457,174,0
4/8/2021 4:00,19.3,17.1,464,136,11.8
4/8/2021 6:00,19.2,20,771,367,161
4/8/2021 8:00,19.7,17.1,535,206,210
4/8/2021 10:00,19.8,15.5,446,165,265
4/8/2021 12:00,20.2,14.9,450,242,178
4/8/2021 14:00,20.6,14.6,450,260,20.1
4/8/2021 16:00,20.8,14,445,222,4.33
4/8/2021 18:00,20.7,15.9,463,258,0
4/8/2021 20:00,20.6,17.8,478,282,0
4/8/2021 22:00,20.5,19.4,479,298,0
4/9/2021 0:00,20.4,19.8,473,291,0
4/9/2021 2:00,20.3,20,474,288,0
4/9/2021 4:00,18.9,22.8,483,268,11.6
4/9/2021 6:00,18.6,27.3,831,632,171
4/9/2021 8:00,20.5,21.4,672,436,216
4/9/2021 10:00,20.8,18.9,485,325,286
4/9/2021 12:00,21.1,22.9,474,528,72.7
4/9/2021 14:00,21.2,22.2,452,428,23.9
4/9/2021 16:00,21.2,23.8,458,628,8.92
4/9/2021 18:00,21.1,23.7,453,590,0
4/9/2021 20:00,20.9,24,459,574,0
4/9/2021 22:00,20.8,25.1,471,630,0
4/10/2021 0:00,20.7,26,482,664,0
4/10/2021 2:00,20.6,27.2,502,763,0
4/10/2021 4:00,20.6,28.1,518,866,1
4/10/2021 6:00,20.6,28.6,525,955,9
4/10/2021 8:00,20.7,27.5,481,842,18.2
4/10/2021 10:00,20.8,26.5,458,688,15.3
4/10/2021 12:00,20.8,26.6,451,690,9.42
4/10/2021 14:00,20.9,27,451,740,7.5
4/10/2021 16:00,20.9,27.3,454,790,1.33
4/10/2021 18:00,20.8,27.4,461,770,0
4/10/2021 20:00,20.7,28.7,489,882,0
4/10/2021 22:00,20.6,29.7,509,951,0
4/11/2021 0:00,20.5,30.1,507,958,0
4/11/2021 2:00,20.5,32.2,469,1080,0
4/11/2021 4:00,20.5,34.1,474,1274,0.333
4/11/2021 6:00,20.5,34.8,470,1373,7.75
4/11/2021 8:00,20.6,35.9,461,1507,15.8
4/11/2021 10:00,20.8,36.3,458,1535,13.3
4/11/2021 12:00,20.8,35.3,452,1432,11.1
4/11/2021 14:00,20.8,34.5,451,1337,13.1
4/11/2021 16:00,20.7,34.5,451,1332,2.17
4/11/2021 18:00,20.7,35.7,466,1434,0
4/11/2021 20:00,20.6,36,479,1423,0
4/11/2021 22:00,20.6,36.3,495,1432,0
4/12/2021 0:00,20.5,36.6,504,1456,0
4/12/2021 2:00,20.5,37,503,1469,0
4/12/2021 4:00,20.3,38.8,513,1417,13.3
4/12/2021 6:00,20.6,43.7,770,1655,109
4/12/2021 8:00,18.4,47.5,500,857,65.4
4/12/2021 10:00,17.6,48.2,462,504,97.6
4/12/2021 12:00,17.9,42.7,485,728,32.8
4/12/2021 14:00,18.7,39.7,481,1087,3.42
4/12/2021 16:00,19,36.4,467,922,0.333
4/12/2021 18:00,19,34.6,461,837,0
4/12/2021 20:00,19,33.3,456,698,0
4/12/2021 22:00,19,32.1,456,566,0
4/13/2021 0:00,19,31.3,454,476,0
4/13/2021 2:00,19,28.8,453,368,0
4/13/2021 4:00,18.7,25.8,455,275,13.8
4/13/2021 6:00,19.3,25.9,836,337,163
4/13/2021 8:00,20,24.4,711,360,223
4/13/2021 10:00,20.2,21.9,616,294,270
4/13/2021 12:00,19.5,17.7,505,81.8,237
4/13/2021 14:00,19.5,19.1,459,217,21
4/13/2021 16:00,19.6,17.9,448,208,5.42
4/13/2021 18:00,19.5,18,448,222,0
4/13/2021 20:00,19.3,18.8,448,231,0
4/13/2021 22:00,19.2,19,448,223,0
4/14/2021 0:00,19.1,18.5,445,210,0
4/14/2021 2:00,19.1,18.8,446,221,0
4/14/2021 4:00,18.8,18.6,456,183,11.1
4/14/2021 6:00,19.3,21.2,794,303,106
4/14/2021 8:00,19.1,17.4,558,1184,152
4/14/2021 10:00,18.5,15.2,443,183,232
4/14/2021 12:00,18.5,14.8,443,161,169
4/14/2021 14:00,19.2,17.6,451,256,18.2
4/14/2021 16:00,19.3,16.1,442,214,5.08
4/14/2021 18:00,19.3,16.4,439,244,0
4/14/2021 20:00,19.2,16.7,442,226,0
4/14/2021 22:00,19.1,16.9,440,212,0
4/15/2021 0:00,19,17.5,443,220,0
4/15/2021 2:00,19.1,18.8,451,275,0
4/15/2021 4:00,18.8,22.6,471,323,19.1
4/15/2021 6:00,19.6,28.5,837,727,143
4/15/2021 8:00,20,26.1,645,605,204
4/15/2021 10:00,20,21.8,465,325,258
4/15/2021 12:00,20,21.7,462,367,163
4/15/2021 14:00,20.3,23.6,463,514,17.5
4/15/2021 16:00,20.2,22.5,447,366,4.67
4/15/2021 18:00,20.1,22.5,450,351,0
4/15/2021 20:00,19.9,22.8,464,344,0
4/15/2021 22:00,19.7,23.2,464,336,0
4/16/2021 0:00,19.6,24,462,344,0
4/16/2021 2:00,19.5,23.2,461,323,0
4/16/2021 4:00,19.2,22.4,473,291,22.7
4/16/2021 6:00,19.8,25.5,876,578,137
4/16/2021 8:00,20.1,23.5,671,5380,168
4/16/2021 10:00,20.4,20.3,503,1384,217
4/16/2021 12:00,20.6,22.3,487,1066,76.4
4/16/2021 14:00,20.6,19.6,451,484,19.2
4/16/2021 16:00,20.5,18.2,445,333,4.83
4/16/2021 18:00,20.3,20.1,460,374,0
4/16/2021 20:00,20.1,20.8,470,358,0
4/16/2021 22:00,20,22.7,482,378,0
4/17/2021 0:00,19.8,23,473,361,0
4/17/2021 2:00,19.6,22.8,470,339,0
4/17/2021 4:00,19.5,22.5,473,331,3.17
4/17/2021 6:00,19.6,23.4,481,355,14.7
4/17/2021 8:00,19.8,22,459,328,31.8
4/17/2021 10:00,20.1,20.6,441,306,40
4/17/2021 12:00,20.4,18.6,438,275,37.8
4/17/2021 14:00,20.6,17.6,433,267,25.7
4/17/2021 16:00,20.6,17.5,434,248,3.83
4/17/2021 18:00,20.4,17.6,438,241,0
4/17/2021 20:00,20.2,19.4,444,273,0
4/17/2021 22:00,20.1,21.3,454,308,0
