Time,Temperature,Humidity,CO2,tvoc,illumination
4/3/2021 6:00,24.7,23.5,327,236,246
4/3/2021 8:00,25.3,23.2,327,254,275
4/3/2021 10:00,26.2,23,328,279,375
4/3/2021 12:00,26.6,22.5,325,286,444
4/3/2021 14:00,26.6,22.5,322,277,152
4/3/2021 16:00,25.9,22.2,319,247,14.6
4/3/2021 18:00,25.3,22,318,213,0
4/3/2021 20:00,24.8,22,320,190,0
4/3/2021 22:00,24.5,21.7,319,172,0
4/4/2021 0:00,24.3,21.5,319,159,0
4/4/2021 2:00,24.2,21.5,319,147,0
4/4/2021 4:00,24.1,21.2,323,137,5.08
4/4/2021 6:00,24,21,322,129,92.7
4/4/2021 8:00,24.7,21,324,157,264
4/4/2021 10:00,25.6,21,322,193,365
4/4/2021 12:00,26.1,20.6,319,206,456
4/4/2021 14:00,26.2,20.5,316,209,171
4/4/2021 16:00,25.6,20.5,314,184,14.2
4/4/2021 18:00,25,20.5,318,156,0
4/4/2021 20:00,24.6,20.5,318,138,0
4/4/2021 22:00,24.3,20.5,323,125,0
4/5/2021 0:00,24.1,20.5,326,117,0
4/5/2021 2:00,24.6,20.5,335,129,0
4/5/2021 4:00,25.1,20.3,341,144,5.92
4/5/2021 6:00,25.1,20.5,344,147,86.7
4/5/2021 8:00,25.7,20.5,340,168,251
4/5/2021 10:00,26.4,20.3,336,198,292
4/5/2021 12:00,26.5,20.1,329,203,163
4/5/2021 14:00,26.2,20.3,325,196,121
4/5/2021 16:00,25.8,20.5,319,180,18.5
4/5/2021 18:00,25.2,20.7,318,162,0.0833
4/5/2021 20:00,24.7,21,322,147,0
4/5/2021 22:00,24.3,21.2,325,135,0
4/6/2021 0:00,24.1,21.2,323,123,0
4/6/2021 2:00,24.2,20.9,323,115,0
4/6/2021 4:00,24.8,20.3,322,121,4.92
4/6/2021 6:00,25.1,19.9,320,123,96.9
4/6/2021 8:00,25.8,19.5,317,145,254
4/6/2021 10:00,26.4,19.5,314,167,300
4/6/2021 12:00,26.4,19.4,314,164,288
4/6/2021 14:00,26.3,19.3,313,162,276
4/6/2021 16:00,26.3,19.3,313,159,264
4/6/2021 18:00,26.3,19.2,312,156,252
4/6/2021 20:00,26.3,19.1,312,153,240
4/6/2021 22:00,26.3,19,311,150,228
4/7/2021 0:00,26.3,18.9,311,147,215
4/7/2021 2:00,26.2,18.9,310,144,203
4/7/2021 4:00,26.2,18.8,310,141,191
4/7/2021 6:00,26.2,18.7,309,138,179
4/7/2021 8:00,24.2,17.7,351,45.3,21.4
4/7/2021 10:00,22.4,12.2,442,52.6,134
4/7/2021 12:00,23.1,10.3,369,81.8,374
4/7/2021 14:00,24,11,367,1134,97.6
4/7/2021 16:00,24.5,13.7,379,1141,17.5
4/7/2021 18:00,24.2,14.6,363,788,0.0833
4/7/2021 20:00,23.8,15.3,352,512,0
4/7/2021 22:00,23.5,15.7,344,377,0
4/8/2021 0:00,23.3,16,339,356,0
4/8/2021 2:00,23.5,16,338,351,0
4/8/2021 4:00,24.2,16,340,377,5
4/8/2021 6:00,24.8,16,378,749,91.4
4/8/2021 8:00,25.7,16,409,833,234
4/8/2021 10:00,26.3,16,423,857,321
4/8/2021 12:00,26.5,15.7,418,846,406
4/8/2021 14:00,26.5,15.7,412,826,184
4/8/2021 16:00,25.8,16,400,749,13.4
4/8/2021 18:00,25,16.4,387,599,0
4/8/2021 20:00,24.4,16.9,376,458,0
4/8/2021 22:00,24,17,367,379,0
4/9/2021 0:00,23.7,17.3,361,367,0
4/9/2021 2:00,23.9,17.2,359,364,0
4/9/2021 4:00,24.6,17,359,429,6
4/9/2021 6:00,25.1,17,402,1113,88.4
4/9/2021 8:00,24.6,16,411,646,211
4/9/2021 10:00,23.9,16,369,317,257
4/9/2021 12:00,25.4,17.6,426,854,279
4/9/2021 14:00,25.9,19.8,403,1121,127
4/9/2021 16:00,24.4,19.8,352,613,17.2
4/9/2021 18:00,23.1,23,354,624,3.67
4/9/2021 20:00,23.6,21.5,359,785,0
4/9/2021 22:00,23.6,21,356,776,0
4/10/2021 0:00,23.6,20.5,356,737,0
4/10/2021 2:00,23.6,20.5,358,698,0
4/10/2021 4:00,23.6,20.5,362,666,3.17
4/10/2021 6:00,23.6,20.5,370,650,35.3
4/10/2021 8:00,23.7,20.5,370,656,65.3
4/10/2021 10:00,23.8,20.5,366,661,56.3
4/10/2021 12:00,23.9,20.5,360,661,33.4
4/10/2021 14:00,23.8,20.5,354,650,31.4
4/10/2021 16:00,23.8,20.5,349,649,6.08
4/10/2021 18:00,23.8,20.9,347,640,0
4/10/2021 20:00,23.7,21,345,630,0
4/10/2021 22:00,23.6,21,351,615,0
4/11/2021 0:00,23.6,21.3,358,605,0
4/11/2021 2:00,23.5,21.5,356,600,0
4/11/2021 4:00,23.5,21.5,355,600,1.58
4/11/2021 6:00,23.5,22,352,608,25.4
4/11/2021 8:00,23.6,22,353,623,66.6
4/11/2021 10:00,23.7,22,349,650,54.7
4/11/2021 12:00,23.7,22.2,343,666,44
4/11/2021 14:00,23.8,22.5,342,698,54.9
4/11/2021 16:00,23.7,22.5,339,709,8.67
4/11/2021 18:00,23.7,22.7,337,702,0
4/11/2021 20:00,23.6,23,340,698,0
4/11/2021 22:00,23.5,23,345,696,0
4/12/2021 0:00,23.6,23.1,350,691,0
4/12/2021 2:00,24.3,22.7,355,747,0
4/12/2021 4:00,25,22.5,361,887,1.42
4/12/2021 6:00,25.1,23.1,400,1322,10.3
4/12/2021 8:00,25,25.9,513,1379,69.8
4/12/2021 10:00,24.7,28.5,419,1170,79.8
4/12/2021 12:00,24.5,27.5,366,898,24.4
4/12/2021 14:00,24.6,27,401,1036,12.3
4/12/2021 16:00,24.5,26.5,401,1210,1.67
4/12/2021 18:00,24.1,26.5,387,1156,0
4/12/2021 20:00,23.8,26.5,374,1072,0
4/12/2021 22:00,23.6,26.5,363,1006,0
4/13/2021 0:00,23.5,26,357,943,0
4/13/2021 2:00,23.8,25.5,352,902,0
4/13/2021 4:00,24.6,24.8,349,982,5.75
4/13/2021 6:00,25.1,24,381,1374,115
4/13/2021 8:00,25.8,23.5,407,1339,284
4/13/2021 10:00,26.1,23.1,414,1293,268
4/13/2021 12:00,25.3,18.5,434,561,265
4/13/2021 14:00,25.1,18.9,455,710,127
4/13/2021 16:00,24.7,20.3,423,774,17.3
4/13/2021 18:00,24.3,21,399,676,0.0833
4/13/2021 20:00,24,21.4,381,592,0
4/13/2021 22:00,23.9,21.5,365,529,0
4/14/2021 0:00,23.8,21.5,354,487,0
4/14/2021 2:00,24.1,21.1,347,480,0
4/14/2021 4:00,24.9,20.5,343,578,8.17
4/14/2021 6:00,25.2,20.1,381,916,127
4/14/2021 8:00,25.8,19.9,394,894,306
4/14/2021 10:00,26.4,19.5,400,915,324
4/14/2021 12:00,26.4,18.1,384,795,377
4/14/2021 14:00,24.7,13,339,207,163
4/14/2021 16:00,24.8,16.2,356,339,23.1
4/14/2021 18:00,24.5,17.3,347,343,0.0833
4/14/2021 20:00,24.3,17.8,345,344,0
4/14/2021 22:00,24.2,18,340,343,0
4/15/2021 0:00,24.2,18.5,334,342,0
4/15/2021 2:00,24.5,18.3,334,349,0
4/15/2021 4:00,25.1,18,334,377,4.58
4/15/2021 6:00,25.3,18.5,372,792,60.6
4/15/2021 8:00,25.5,18.5,386,714,245
4/15/2021 10:00,26.1,18.4,392,746,318
4/15/2021 12:00,25.3,17,398,606,223
4/15/2021 14:00,25.1,18.7,422,637,91.6
4/15/2021 16:00,24.8,19.3,388,597,17.2
4/15/2021 18:00,24.5,19.5,375,521,0.0833
4/15/2021 20:00,24.3,19.6,366,469,0
4/15/2021 22:00,24.3,20,355,425,0
4/16/2021 0:00,24.3,20,352,408,0
4/16/2021 2:00,24.5,19.8,347,425,0
4/16/2021 4:00,25.1,19.5,348,522,8
4/16/2021 6:00,25.2,19.5,414,975,118
4/16/2021 8:00,25.7,19.1,424,894,279
4/16/2021 10:00,26.3,19,418,883,310
4/16/2021 12:00,26.6,19,407,903,364
4/16/2021 14:00,26.6,19.8,394,929,157
4/16/2021 16:00,25.9,20,385,872,21.7
4/16/2021 18:00,25.2,20.2,379,744,0.0833
4/16/2021 20:00,24.6,20.5,371,625,0
4/16/2021 22:00,24.4,20.5,367,533,0
4/17/2021 0:00,24.4,20.5,363,482,0
4/17/2021 2:00,24.4,20.5,359,451,0
4/17/2021 4:00,24.4,20.5,356,416,10.4
4/17/2021 6:00,24.5,20.4,355,412,113
4/17/2021 8:00,25.1,20,351,529,271
4/17/2021 10:00,25.7,20,341,661,270
4/17/2021 12:00,25.8,20,339,685,325
4/17/2021 14:00,26,20,333,711,180
4/17/2021 16:00,25.4,20,330,607,14.8
4/17/2021 18:00,24.8,20,329,441,0.167
4/17/2021 20:00,24.6,20,328,381,0
4/17/2021 22:00,24.6,20,329,377,0
4/18/2021 0:00,24.6,20,331,375,0
